#{"t_start": 1696590095.593497, "env_id": "None"}
r,l,t
580.987779,240,56252.922624
787.475973,240,56273.449324
781.559342,240,56293.943445
1084.692361,240,56314.554751
884.828233,240,56335.049024
988.340011,240,56355.577821
1190.131261,240,56376.08872
992.900764,240,56396.630293
1090.214819,240,56417.157381
991.596783,240,56437.671359
986.296442,240,56458.192709
684.815957,240,56478.722797
1092.735753,240,56499.223689
1093.541412,240,56519.744471
892.100725,240,56540.201379
1194.113145,240,56560.787158
1092.222036,240,56581.307896
681.366015,240,56601.818911
785.828209,240,56622.295726
885.56473,240,56643.03898
780.847576,240,56663.614174
1189.038798,240,56684.161834
784.239154,240,56704.642918
682.121975,240,56725.155478
681.929012,240,56745.691379
890.774956,240,56766.230628
886.61499,240,56786.728154
680.319249,240,56807.185601
993.66069,240,56827.721999
993.276812,240,56848.325684
887.968903,240,56868.802874
576.300478,240,56889.35041
890.084743,240,56909.957173
1091.58885,240,56930.505633
890.200771,240,56951.035755
887.950118,240,56971.51586
683.939742,240,56992.030369
682.708506,240,57012.510133
684.041897,240,57032.988858
988.495974,240,57053.450165
789.935984,240,57074.134745
681.330154,240,57094.643471
886.794572,240,57115.142499
1087.334649,240,57135.660691
884.572484,240,57156.210683
990.175183,240,57176.704345
787.94477,240,57197.241292
888.833861,240,57217.846169
888.737119,240,57238.331325
779.601688,240,57258.886743
889.916726,240,57279.39486
685.937937,240,57299.928929
683.0371,240,57320.402572
788.557066,240,57340.91
786.247904,240,57361.410508
784.90754,240,57381.872279
685.297585,240,57402.329623
583.337343,240,57422.849104
884.475406,240,57443.298257
890.712889,240,57463.839164
1090.414718,240,57484.308694
784.239808,240,57504.893129
989.101022,240,57525.380813
685.551098,240,57546.142712
990.479018,240,57566.673945
785.89128,240,57587.16625
782.733984,240,57607.733839
784.68905,240,57628.216232
687.023169,240,57648.682723
985.060762,240,57669.250498
1292.928912,240,57689.792633
1093.715666,240,57710.281695
889.948895,240,57730.762558
787.207265,240,57751.392756
891.074249,240,57771.846782
986.919826,240,57792.457908
678.54731,240,57812.970151
788.320883,240,57833.517128
883.330709,240,57854.04968
991.042505,240,57874.550092
788.88574,240,57895.118113
990.182645,240,57915.648342
890.752595,240,57936.155528
987.430074,240,57956.681591
890.220046,240,57977.366091
782.814593,240,57997.920385
682.206868,240,58018.465334
1092.743473,240,58039.037325
889.366593,240,58059.622047
579.370106,240,58080.165999
1288.455793,240,58100.772125
989.901248,240,58121.5299
786.596827,240,58142.041301
885.710568,240,58162.567142
889.662027,240,58183.104849
684.302094,240,58203.617604
991.091962,240,58224.139503
683.114086,240,58244.639678
886.336136,240,58265.150496
787.264838,240,58285.694567
1086.510874,240,58306.16952
993.243538,240,58326.692325
680.426689,240,58347.275253
785.731465,240,58367.81201
784.291544,240,58388.330147
685.155047,240,58408.81762
890.110662,240,58429.341622
583.675169,240,58450.052784
